bigram,count
"('JJ', 'NN')",0.0502111235011389
"('NN', 'IN')",0.04410506915050282
"('DT', 'NN')",0.04386712917054123
"('IN', 'DT')",0.04142084894412526
"('DT', 'JJ')",0.032573983256742385
"('NN', 'NN')",0.03040937252011879
"('JJ', 'NNS')",0.02717467495469494
"('NNS', 'IN')",0.021977937176128316
"('IN', 'JJ')",0.02188276118414368
"('NN', '.')",0.016891166253165567
"('NN', 'NNS')",0.016538114769384712
"('NN', ',')",0.016218503499003868
"('IN', 'NN')",0.014736844812972745
"('NNS', '.')",0.01287448215900307
"('TO', 'VB')",0.012797312435772283
"('NN', 'VBZ')",0.012083492495887497
"('PRP', 'VBP')",0.011779315170152809
"('VBN', 'IN')",0.011386392662702716
"('JJ', 'JJ')",0.011303435210229619
"('NNS', ',')",0.008902170655698276
"('NN', 'CC')",0.008895096764402121
"('.', 'DT')",0.008473235610740482
"('IN', 'VBG')",0.008060377591455769
"('IN', 'NNS')",0.008011503433409603
"('VBP', 'DT')",0.007916327441424965
"('VB', 'DT')",0.007803788261713399
"('VBZ', 'DT')",0.007282892629905583
"('.', 'PRP')",0.0071639226399247856
"('NNS', 'VBP')",0.0071137623198247735
"('.', 'IN')",0.007038521839674755
"('DT', 'NNS')",0.00661730376704004
"(',', 'PRP')",0.006303480225901503
"('NNP', 'NNP')",0.006279043146878421
"('VBG', 'DT')",0.005854609669109089
"('NN', 'TO')",0.005845606534732163
"('IN', 'NNP')",0.005633389795847497
"('NNP', 'NN')",0.0055504323433744
"('CC', 'JJ')",0.0053980221399935946
"('NNS', 'CC')",0.0052346795591550945
"('(', 'NNP')",0.0051903069682973915
"(',', 'CC')",0.005146577458466612
"('NNP', ')')",0.005073909302424287
"('CC', 'NN')",0.005046256818266588
"('MD', 'VB')",0.004967157851955031
"('VBZ', 'VBN')",0.004862978725593468
"(',', 'DT')",0.004606389395851098
"('JJ', 'IN')",0.004218611536616391
"('DT', 'NNP')",0.004217968455589467
"('RB', ',')",0.004133724841062524
"('RB', 'JJ')",0.004087423007124052
"('VBG', 'NN')",0.0039080034006124705
"('VBP', 'IN')",0.003859772323593228
"('PRP$', 'NN')",0.0038411229738124545
"('TO', 'DT')",0.0037626670885278204
"('VBZ', 'JJ')",0.003725368388966273
"('VBG', 'JJ')",0.0037189375786970407
"('.', 'RB')",0.003675851149893184
"('VB', 'JJ')",0.0036629895293547195
"('JJ', 'NNP')",0.0036308354780085583
"('VBP', 'JJ')",0.0035279425137008415
"('VBP', 'VBN')",0.003423763387339278
"(',', 'IN')",0.00341025868577389
"('WDT', 'VBZ')",0.0033298735574084862
"('NNP', '(')",0.0033208704230315612
"('RB', 'VBN')",0.0032945041009277086
"('VBG', 'NNS')",0.003253346915204622
"('VBN', 'TO')",0.0031928972986738384
"(',', 'JJ')",0.0031092967651738185
"('NNP', ',')",0.003010262287027641
"('VBN', 'NN')",0.0029748928305468633
"('RB', 'IN')",0.0029562434807660896
"('NN', '(')",0.0029273048345545443
"('VBZ', 'RB')",0.002879073757535302
"('CC', 'DT')",0.0028102640876545163
"('.', 'NNP')",0.0027658914967968132
"('NN', 'VBG')",0.00276524841576989
"('NNS', 'TO')",0.002762033010635274
"('JJ', 'CC')",0.002719589662858341
"('JJ', 'TO')",0.0025986904297967735
"('RB', 'VB')",0.0025511024338044546
"('NN', 'WDT')",0.002517019139377523
"('VB', 'VBN')",0.002515732977323677
"('IN', 'PRP$')",0.002513160653215984
"('NN', 'VBN')",0.0024977267085698265
"('IN', 'CD')",0.002469431143385204
"('NNP', 'NNS')",0.002412196931989037
"(',', 'NN')",0.0023504611534044067
"('NN', ')')",0.002329882560542863
"('.', 'JJ')",0.0022462820270428433
"(',', 'VBG')",0.0022353496495851484
"('JJ', ',')",0.0022186295428851446
"('DT', 'VBN')",0.002192263220781292
"('VBZ', 'IN')",0.0021742569520274415
"('CD', 'NN')",0.0021414598196543566
"('NNS', 'VBN')",0.0021324566852774316
"('$', 'JJ')",0.002108662687281272
"('NN', 'JJ')",0.002069434744638955
"('VBP', 'RB')",0.002046926908696642
"(',', 'RB')",0.002024419072754329
"('NNS', 'WDT')",0.0020192744245389432
